активн: активная, активно
александр: александр
кажд: каждая
казахстан: казахстана
казахстанск: казахстанском
казимов: казимова
карт: карты
каф: кафе
кафедр: кафедра
кин: кино
кинематограф: кинематографа
кинематографическ: кинематографического
кинокартин: кинокартины
кинолент: киноленты
киносъемк: киносъемки
ключевы: ключевые
когнитивн: когнитивному
комплекс: комплекс, комплекса
конструкт: конструктом
контекст: контекста, контексте
концепци: концепции
концепция: концепция
концерт: концерты
котор: которая, которой, котором
которы: которые
куд: куда
культов: культовом
культур: культурного
культурны: культурные
лежит: лежит
лектор: лектор
лет: лет
литератур: литературы
личност: личностей
локализаци: локализации
локаци: локаций
магистр: магистр
максималь: максимального
маршрут: маршрут, маршрута, маршруте
международн: международный
менят: менять
мероприятиям: мероприятиям
мест: мест, места, местами, месте
метод: метод
мечтат: мечтать
мир: мир, мире
может: может
можн: можно
монтаж: монтаж
москв: москва
мотивогенност: мотивогенности
музейн: музейными
музык: музыки
музыкант: музыканта
наблюдаемост: наблюдаемости
навигаци: навигации
назад: назад
назарбаев: назарбаева
написан: написаны
направлени: направлении
народн: народное
наследия: наследия
настояще: настоящее
насыщенност: насыщенности
наук: наук
научн: научный
находящегося: находящегося
нейросет: нейросети
нем: нем
необходим: необходимый
никола: николаев
нов: нового, новый, новым, новых
новы: новые
нугманов: нугманова
обзор: обзора
обладающим: обладающим
областях: областях
облик: облик
обогащающ: обогащающих
оборудовани: оборудование
образ: образом
образовани: образование
обучающи: обучающие
обученны: обученные
обход: обход
объект: объектами, объектов, объектом
одним: одним
озвучк: озвучку
оздоровительн: оздоровительный
ознакомиться: ознакомиться
ознакомлени: ознакомление
окружающ: окружающего
он: он
они: они
определени: определение
определивш: определившего
определяет: определяет
определяющ: определяющих
оптимизаци: оптимизации
опыт: опыт, опыту
оригинал: оригиналу
ориентаци: ориентации
основ: основе
основательн: основательному
основн: основное, основной
особенност: особенности
остановк: остановка
осуществляется: осуществляется
осуществляться: осуществляться
от: от
отбор: отбор
открывает: открывает
отражающим: отражающим
отражен: отражено
оценит: оценить
ощущени: ощущений
памятник: памятник
панфилов: панфилова
панфиловц: панфиловцев
парк: парк
перв: первый, первых
передан: переданы
пережит: пережить
переосмыслив: переосмысливая
песн: песни
пластичност: пластичности
пленк: пленке
погружаться: погружаться
погружени: погружение
погружения: погружения
подбор: подбор
подготовк: подготовка
подним: поднимая
поднявш: поднявших
подоб: подобного
подобн: подобный, подобных
подобны: подобные
подобран: подобраны
подход: подход
позволит: позволит
позволяет: позволяет
позволяют: позволяют
пол: полного
пользовател: пользователем
понимани: пониманию
понимания: понимания
понят: понять
поняти: понятие
популяризаци: популяризации
портфеля: портфеля
посвящённ: посвящённой
посетит: посетить
пребывания: пребывания
пределах: пределах
предлаг: предлагая
предлагает: предлагает
предназначени: предназначение
предоставляет: предоставляет
предоставляя: предоставляя
предполагает: предполагает
представлен: представлен
представляют: представляют
премьер: премьера
при: при
приближ: приближая
приближения: приближения
привлекаются: привлекаются
привлеч: привлечь
прикладн: прикладных
пример: примером
присутствия: присутствия
проводятся: проводятся
продукт: продуктом
продукци: продукции
проект: проект
проектирования: проектирования
произведения: произведения
происходил: происходило
пространств: пространства, пространство
пространственн: пространственной, пространственным
профессиональны: профессиональные
проходил: проходили
процесс: процесс, процессе
прочи: прочие
публик: публике
работ: работы
развиваяс: развиваясь
развити: развитии, развитию
различн: различных
различны: различные
разнообразн: разнообразных
разработан: разработан
разработк: разработка, разработке, разработки
рамках: рамках
ранообразит: ранообразить
раскрывает: раскрывает
рассказ: рассказ
расширени: расширение
расширенну: расширенную
рашид: рашида
реализаци: реализации
реализуется: реализуется
реальност: реальности, реальность
режиссёр: режиссёра
результат: результате
репрезентативност: репрезентативности
реч: речи
рк: рк
род: рода
руководител: руководитель
рынк: рынка, рынке
самоорганизующимся: самоорганизующимся
сапрыкин: сапрыкин
сво: свою
свойств: свойства, свойствами
связан: связан
связанны: связанные
себя: себя
сениор: сениор
сентября: сентября
сервис: сервис
серге: сергеев
сергеевн: сергеевна
символ: символом
систематизированн: систематизированный
системн: системным
следующи: следующие
слов: слова
смешанну: смешанную
соб: собой
событи: событий
событиях: событиях
современн: современном, современный
согласн: согласно
содействующ: содействующих
содержани: содержание
создани: создание, созданием, создании, созданию
создания: создания
созданн: созданном
созданны: созданные
создающ: создающего
соколов: соколова
солнц: солнце
сопровождающи: сопровождающие
сосредоточен: сосредоточен
составлени: составление
состоялас: состоялась
софия: софия
сохранени: сохранению
спектакл: спектакль
спектакля: спектакля
специфиче: специфический
список: список
способствоват: способствовать
способствует: способствует
сравнит: сравнить
сред: сред, среды
стат: стать
студент: студент
субъект: субъекта
существующи: существующие
сценарист: сценаристы
сценария: сценария
съемк: съемкам, съемки
съемок: съемок
так: таких, такой
таким: таким
творческ: творческой
творчески: творческие
творчеств: творчества, творчество, творчеством
твоя: твоя
театрализац: театрализацией
текст: текста, тексте
тем: темы
теори: теории
технологи: технологии, технологий
технологическ: технологической
тог: того
тольк: только
точк: точка, точки
трансляци: трансляции
трехмер: трехмерного
три: три
туран: туран
туризм: туризм, туризме
туристск: туристского
уалиханов: уалиханова
удаляя: удаляя
улиц: улица
улучшени: улучшении
университет: университет
уникальн: уникальный
уникальну: уникальную
уровен: уровень
успешн: успешной
устойчив: устойчивых
устремлени: устремлений
участи: участием, участии
участия: участия
участник: участникам, участниками, участников
учет: учетом
фактор: факторов
физическ: физически
фильм: фильма, фильме
фокус: фокус
фокусируется: фокусируется
форм: форм
форматах: форматах
формировани: формирование
фот: фото
фотографи: фотографии
фразеология: фразеология
характерны: характерные
ход: ходе
цел: цели
целостност: целостности
цою: цою
цоя: цоя
частич: частичного
человек: человека
человечеств: человечества
через: через
что: что
шаг: шаги, шагом
эволюци: эволюцию
экскрси: экскрсий
экскурси: экскурсии, экскурсий
экскурсион: экскурсионного
экскурсионн: экскурсионных
экскурсия: экскурсия
экскурсовод: экскурсовода
экспозиц: экспозициями
элемент: элементы
эмоциональн: эмоционально
этап: этапы
эти: эти
этих: этих
этог: этого
этом: этом
этот: этот
эффект: эффект
эффективн: эффективных
является: является
являются: являются
